O produto apresentado lhe e familiar?;Qual das versoes apresentadas voce considera que representa a caracteristica sabor original;Em sua percepcao, qual dos produtos possui o preco mais elevado?;Dentre as tres variacoes apresentadas do mesmo produto, indique qual voce considera ter o sabor suave, equilibrado e intenso. [Suave];Dentre as tres variacoes apresentadas do mesmo produto, indique qual voce considera ter o sabor suave, equilibrado e intenso. [Equilibrado];Dentre as tres variacoes apresentadas do mesmo produto, indique qual voce considera ter o sabor suave, equilibrado e intenso. [Intenso];Qual das variacoes apresentadas melhor representa o sabor cebola e salsa?;Qual das variacoes apresentadas melhor representa o sabor churrasco?;O produto apresentado lhe e familiar?;Qual das alternativas apresentadas voce considera que representa a caracteristica azeite de oliva original?;Em sua percepcao, qual dos produtos possui o preco mais elevado?;Dentre as tres variacoes apresentadas do mesmo produto, indique qual voce considera ter o sabor suave, equilibrado e intenso. [Suave];Dentre as tres variacoes apresentadas do mesmo produto, indique qual voce considera ter o sabor suave, equilibrado e intenso. [Equilibrado];Dentre as tres variacoes apresentadas do mesmo produto, indique qual voce considera ter o sabor suave, equilibrado e intenso. [Intenso];Qual das variacoes apresentadas Nao e considerado do tipo extra virgem?;Dentre as tres variacoes de azeite apresentadas, indique qual voce considera ter o nivel de acidez doce, neutro e acido. [Doce];Dentre as tres variacoes de azeite apresentadas, indique qual voce considera ter o nivel de acidez doce, neutro e acido. [Neutro];Dentre as tres variacoes de azeite apresentadas, indique qual voce considera ter o nivel de acidez doce, neutro e acido. [acido];Qual das variacoes apresentadas, voce classificaria como tipo reserva?;Dentre as tres variacoes de azeite apresentadas, indique qual voce considera quanto ao nivel de qualidade baixa qualidade, regular e alta qualidade. [Baixa qualidade];Dentre as tres variacoes de azeite apresentadas, indique qual voce considera quanto ao nivel de qualidade baixa qualidade, regular e alta qualidade. [Regular];Dentre as tres variacoes de azeite apresentadas, indique qual voce considera quanto ao nivel de qualidade baixa qualidade, regular e alta qualidade. [Alta qualidade];O produto apresentado lhe e familiar?;Qual dos produtos apresentadas voce considera que representa a caracteristica Original?;Em sua percepcao, qual dos produtos possui o preco mais elevado?;Dentre as tres variacoes de desodorante apresentadas, indique qual voce considera com a fragrância suave, equilibrada e intensa. [Suave];Dentre as tres variacoes de desodorante apresentadas, indique qual voce considera com a fragrância suave, equilibrada e intensa. [Equilibrada];Dentre as tres variacoes de desodorante apresentadas, indique qual voce considera com a fragrância suave, equilibrada e intensa. [Intensa];Qual das variacoes apresentadas voce considera que possui melhor fragrância?;Dentre as tres variacoes de desodorante apresentadas, indique quanto a eficiencia qual voce considera pouco eficiente, mediano e muito eficiente. [Pouco eficiente];Dentre as tres variacoes de desodorante apresentadas, indique quanto a eficiencia qual voce considera pouco eficiente, mediano e muito eficiente. [Mediano];Dentre as tres variacoes de desodorante apresentadas, indique quanto a eficiencia qual voce considera pouco eficiente, mediano e muito eficiente. [Muito eficiente];Uma das variacoes do produto promete acao antibacteriana e eliminacao de ate 99,9% das bacterias que causam mal odor. Qual variacao de desodorante corresponde a esta caracteristica?;Em sua opiniao, qual das variacoes do produto possui protecao duradoura?;Uma das variacoes de desodorante possui como principais caracteristicas testes à temperatura de 58C e perfeito para quem gosta de desafios. Qual variacao melhor representa tais caracteristicas?;Qual das variacoes de desodorante voce utilizaria para pratica de esportes?
Sim, Consumo o Produto;C;B;Embalagem C;Embalagem A;Embalagem B;A;B;Sim, Consumo o Produto;B;C;Embalagem A;Embalagem B;Embalagem C;C;Embalagem A;Embalagem B;Embalagem C;A;Embalagem B;Embalagem C;Embalagem A;Sim, Consumo o Produto;B;A;Embalagem A;Embalagem B;Embalagem C;C;Embalagem C;Embalagem B;Embalagem A;A;C;C;C
Sim, conheco o produto;C;B;Embalagem C;Embalagem B;Embalagem A;A;B;Sim, Consumo o Produto;C;A;Embalagem C;Embalagem A;Embalagem B;B;Embalagem A;Embalagem C;Embalagem B;A;Embalagem C;Embalagem B;Embalagem A;Sim, conheco o produto;C;A;Embalagem C;Embalagem A;Embalagem B;A;Embalagem B;Embalagem C;Embalagem A;C;C;A;C
Sim, Consumo o Produto;B;A;Embalagem A;Embalagem B;Embalagem C;A;C;O produto me e familiar;B;A;Embalagem B;Embalagem A;Embalagem C;C;Embalagem A;Embalagem B;Embalagem C;A;Embalagem A;Embalagem B;Embalagem C;Sim, conheco o produto;A;C;Embalagem A;Embalagem B;Embalagem C;C;Embalagem B;Embalagem A;Embalagem C;C;C;B;C
Sim, Consumo o Produto;C;A;Embalagem C;Embalagem A;Embalagem B;B;A;Sim, Consumo o Produto;C;A;Embalagem A;Embalagem C;Embalagem B;A;Embalagem A;Embalagem B;Embalagem C;A;Embalagem C;Embalagem B;Embalagem A;Nao conheco o produto;B;C;Embalagem C;Embalagem A;Embalagem B;C;Embalagem A;Embalagem B;Embalagem C;C;C;A;A
Sim, conheco o produto;C;A;Embalagem C;Embalagem B;Embalagem A;C;B;Sim, conheco o produto;B;A;Embalagem B;Embalagem C;Embalagem A;A;Embalagem C;Embalagem B;Embalagem A;C;Embalagem B;Embalagem C;Embalagem A;Sim, Consumo o Produto;C;A;Embalagem B;Embalagem C;Embalagem A;A;Embalagem B;Embalagem C;Embalagem A;A;C;A;A
O produto me e familiar;C;C;Embalagem A;Embalagem C;Embalagem B;A;B;O produto me e familiar;B;A;Embalagem A;Embalagem B;Embalagem C;A;;Embalagem B;Embalagem C;A;;;Embalagem A;O produto me e familiar;C;A;Embalagem C;Embalagem B;Embalagem A;A;;Embalagem A;;C;A;A;C
Sim, conheco o produto;C;B;Embalagem A;Embalagem C;Embalagem B;A;B;Sim, Consumo o Produto;B;A;Embalagem B;Embalagem C;Embalagem A;B;Embalagem A;Embalagem B;Embalagem C;A;Embalagem B;Embalagem C;Embalagem A;Sim, conheco o produto;C;A;Embalagem B;Embalagem C;Embalagem A;B;Embalagem C;Embalagem B;Embalagem A;A;A;A;B
Sim, Consumo o Produto;C;B;Embalagem C;Embalagem A;Embalagem B;A;B;Sim, conheco o produto;B;C;Embalagem B;Embalagem A;Embalagem C;B;Embalagem B;Embalagem A;Embalagem C;C;Embalagem B;Embalagem A;Embalagem C;Sim, Consumo o Produto;C;A;;Embalagem B;Embalagem A;A;Embalagem A;Embalagem A;Embalagem A;A;A;A;A
Sim, conheco o produto;C;A;Embalagem A;Embalagem C;Embalagem B;A;B;Sim, conheco o produto;B;A;Embalagem B;Embalagem A;Embalagem C;C;Embalagem A;Embalagem B;Embalagem C;A;Embalagem C;Embalagem B;Embalagem A;Sim, Consumo o Produto;C;C;Embalagem C;Embalagem B;Embalagem A;A;Embalagem B;Embalagem C;Embalagem A;A;C;A;A
Sim, Consumo o Produto;C;B;Embalagem C;Embalagem B;Embalagem A;A;B;Sim, Consumo o Produto;B;A;Embalagem C;Embalagem B;Embalagem A;C;Embalagem A;Embalagem B;Embalagem C;A;Embalagem A;Embalagem B;;Sim, conheco o produto;C;B;;Embalagem B;Embalagem A;C;;Embalagem B;Embalagem A;B;A;A;A
O produto me e familiar;A;B;Embalagem C;Embalagem A;Embalagem B;C;B;O produto me e familiar;B;A;Embalagem A;Embalagem B;Embalagem C;B;Embalagem A;Embalagem B;Embalagem C;A;Embalagem B;Embalagem C;Embalagem A;Sim, Consumo o Produto;A;C;Embalagem B;Embalagem A;Embalagem C;B;Embalagem A;Embalagem C;Embalagem B;B;B;C;C
Sim, Consumo o Produto;C;A;Embalagem C;Embalagem B;Embalagem A;A;B;O produto me e familiar;B;C;Embalagem A;Embalagem B;Embalagem C;C;Embalagem A;Embalagem B;Embalagem C;A;;Embalagem B;Embalagem A;O produto me e familiar;B;A;Embalagem C;Embalagem B;Embalagem A;B;;Embalagem B;Embalagem A;A;C;C;A
Sim, conheco o produto;C;A;Embalagem A;Embalagem C;Embalagem B;A;B;Sim, Consumo o Produto;B;A;Embalagem A;Embalagem B;Embalagem C;C;Embalagem A;Embalagem B;Embalagem C;A;Embalagem C;Embalagem B;Embalagem A;Sim, Consumo o Produto;C;A;Embalagem B;Embalagem C;Embalagem A;C;Embalagem B;Embalagem C;Embalagem A;A;C;A;C
